,0
0,-18.81999969482422
1,-18.530000686645508
2,-18.459999084472656
3,-17.989999771118164
4,-17.90999984741211
5,-17.84000015258789
6,-17.59000015258789
7,-17.440000534057617
8,-17.299999237060547
9,-17.18000030517578
10,-17.149999618530273
11,-17.06999969482422
12,-16.979999542236328
13,-16.899999618530273
14,-16.809999465942383
15,-16.670000076293945
16,-16.530000686645508
17,-16.520000457763672
18,-16.40999984741211
19,-16.389999389648438
20,-16.360000610351562
21,-16.200000762939453
22,-16.1299991607666
23,-16.020000457763672
24,-15.949999809265137
25,-15.829999923706055
26,-15.65999984741211
27,-15.359999656677246
28,-15.029999732971191
29,-14.699999809265137
30,-14.680000305175781
31,-14.65999984741211
32,-14.609999656677246
33,-14.550000190734863
34,-13.510000228881836
35,-13.489999771118164
36,-13.09000015258789
37,-12.569999694824219
38,-12.399999618530273
39,-11.369999885559082
